date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:35	42736/42736	---M-Z	200	added ('OK')	text/html	etag:W/%225bfe3ea5-a6f0%22	https://technext.github.io/dentacare/index.html	/home/kumartej/websites/Medico1/technext.github.io/dentacare/index.html	(from )
14:35:37	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://technext.github.io/robots.txt		(from )
14:35:38	1230/1230	---MC-	200	added ('OK')	text/css	date:Mon,%2026%20Sep%202022%2009:05:34%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:300,400,500,600,700	/home/kumartej/websites/Medico1/fonts.googleapis.com/css86ec.css	(from https://technext.github.io/dentacare/index.html)
14:35:38	9467/9467	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-24fb%22	https://technext.github.io/dentacare/css/open-iconic-bootstrap.min.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/open-iconic-bootstrap.min.css	(from https://technext.github.io/dentacare/index.html)
14:35:39	73641/73641	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-11fa9%22	https://technext.github.io/dentacare/css/animate.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/animate.css	(from https://technext.github.io/dentacare/index.html)
14:35:40	3440/3440	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-d70%22	https://technext.github.io/dentacare/css/owl.carousel.min.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/owl.carousel.min.css	(from https://technext.github.io/dentacare/index.html)
14:35:41	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-3c5%22	https://technext.github.io/dentacare/css/owl.theme.default.min.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/owl.theme.default.min.css	(from https://technext.github.io/dentacare/index.html)
14:35:42	6950/6950	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-1b26%22	https://technext.github.io/dentacare/css/magnific-popup.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/magnific-popup.css	(from https://technext.github.io/dentacare/index.html)
14:35:43	25983/25983	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-657f%22	https://technext.github.io/dentacare/css/aos.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/aos.css	(from https://technext.github.io/dentacare/index.html)
14:35:44	46816/46816	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-b6e0%22	https://technext.github.io/dentacare/css/ionicons.min.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/ionicons.min.css	(from https://technext.github.io/dentacare/index.html)
14:35:45	17945/17945	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-4619%22	https://technext.github.io/dentacare/css/bootstrap-datepicker.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/bootstrap-datepicker.css	(from https://technext.github.io/dentacare/index.html)
14:35:46	1588/1588	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-634%22	https://technext.github.io/dentacare/css/jquery.timepicker.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/jquery.timepicker.css	(from https://technext.github.io/dentacare/index.html)
14:35:47	1472/1472	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-5c0%22	https://technext.github.io/dentacare/css/flaticon.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/flaticon.css	(from https://technext.github.io/dentacare/index.html)
14:35:49	79875/79875	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-13803%22	https://technext.github.io/dentacare/css/icomoon.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/icomoon.css	(from https://technext.github.io/dentacare/index.html)
14:35:50	256582/256582	---M-Z	200	added ('OK')	text/css	etag:W/%225bfe3ea5-3ea46%22	https://technext.github.io/dentacare/css/style.css	/home/kumartej/websites/Medico1/technext.github.io/dentacare/css/style.css	(from https://technext.github.io/dentacare/index.html)
14:35:50	22793/22793	---M-Z	200	added ('OK')	text/html	etag:W/%225bfe3ea5-5909%22	https://technext.github.io/dentacare/about.html	/home/kumartej/websites/Medico1/technext.github.io/dentacare/about.html	(from https://technext.github.io/dentacare/index.html)
14:35:51	21184/21184	---M-Z	200	added ('OK')	text/html	etag:W/%225bfe3ea5-52c0%22	https://technext.github.io/dentacare/services.html	/home/kumartej/websites/Medico1/technext.github.io/dentacare/services.html	(from https://technext.github.io/dentacare/index.html)
14:35:52	24512/24512	---M-Z	200	added ('OK')	text/html	etag:W/%225bfe3ea5-5fc0%22	https://technext.github.io/dentacare/doctors.html	/home/kumartej/websites/Medico1/technext.github.io/dentacare/doctors.html	(from https://technext.github.io/dentacare/index.html)
14:35:53	22769/22769	---M-Z	200	added ('OK')	text/html	etag:W/%225bfe3ea5-58f1%22	https://technext.github.io/dentacare/blog.html	/home/kumartej/websites/Medico1/technext.github.io/dentacare/blog.html	(from https://technext.github.io/dentacare/index.html)
14:35:54	12679/12679	---M-Z	200	added ('OK')	text/html	etag:W/%225bfe3ea5-3187%22	https://technext.github.io/dentacare/contact.html	/home/kumartej/websites/Medico1/technext.github.io/dentacare/contact.html	(from https://technext.github.io/dentacare/index.html)
14:35:56	131983/131983	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-2038f%22	https://technext.github.io/dentacare/images/bg_1.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/bg_1.jpg	(from https://technext.github.io/dentacare/index.html)
14:35:58	103471/103471	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-1942f%22	https://technext.github.io/dentacare/images/about-2.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/about-2.jpg	(from https://technext.github.io/dentacare/index.html)
14:35:58	428131/428131	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-68863%22	https://technext.github.io/dentacare/images/bg_2.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/bg_2.jpg	(from https://technext.github.io/dentacare/index.html)
14:35:58	58687/58687	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-e53f%22	https://technext.github.io/dentacare/images/person_5.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/person_5.jpg	(from https://technext.github.io/dentacare/index.html)
14:35:59	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://technext.github.io/dentacare/teacher-single.html	/home/kumartej/websites/Medico1/technext.github.io/dentacare/teacher-single.html	(from https://technext.github.io/dentacare/index.html)
14:36:01	82943/82943	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-143ff%22	https://technext.github.io/dentacare/images/person_6.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/person_6.jpg	(from https://technext.github.io/dentacare/index.html)
14:36:01	59749/59749	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-e965%22	https://technext.github.io/dentacare/images/person_7.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/person_7.jpg	(from https://technext.github.io/dentacare/index.html)
14:36:02	49233/49233	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-c051%22	https://technext.github.io/dentacare/images/person_8.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/person_8.jpg	(from https://technext.github.io/dentacare/index.html)
14:36:03	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-8cfa%22	https://technext.github.io/dentacare/images/person_1.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/person_1.jpg	(from https://technext.github.io/dentacare/index.html)
14:36:04	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-bb43%22	https://technext.github.io/dentacare/images/person_2.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/person_2.jpg	(from https://technext.github.io/dentacare/index.html)
14:36:05	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-8918%22	https://technext.github.io/dentacare/images/person_3.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/person_3.jpg	(from https://technext.github.io/dentacare/index.html)
14:36:06	96828/96828	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-17a3c%22	https://technext.github.io/dentacare/images/gallery-1.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/gallery-1.jpg	(from https://technext.github.io/dentacare/index.html)
14:36:07	28480/28480	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-6f40%22	https://technext.github.io/dentacare/images/gallery-2.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/gallery-2.jpg	(from https://technext.github.io/dentacare/index.html)
14:36:09	113400/113400	---M--	200	added ('OK')	image/jpeg	etag:%225bfe3ea5-1baf8%22	https://technext.github.io/dentacare/images/gallery-3.jpg	/home/kumartej/websites/Medico1/technext.github.io/dentacare/images/gallery-3.jpg	(from https://technext.github.io/dentacare/index.html)
